comuna,count
LOS ANDES,91
RINCONADA,91
QUEMCHI,89
CALDERA,89
SAN JUAN DE LA COSTA,87
O'HIGGINS,82
PAIGUANO,81
RIO HURTADO,77
PETORCA,72
CERRILLOS,69
TIERRA AMARILLA,67
ALGARROBO,65
CAMINA,65
SAN ESTEBAN,64
SANTA MARIA,56
OLIVAR,53
RENCA,50
LO BARNECHEA,48
CURACO DE VELEZ,46
CANELA,45
EL QUISCO,41
LA FLORIDA,41
QUEILEN,40
PENALOLEN,38
HUALAIHUE,34
FUTALEUFU,32
LO ESPEJO,26
RIO CLARO,23
CURARREHUE,23
HUECHURABA,20
ESTACION CENTRAL,19
EL TABO,17
PUNITAQUI,16
CERRO NAVIA,15
QUINTA NORMAL,14
QUINCHAO,14
RECOLETA,12
EL BOSQUE,11
ANDACOLLO,11
LA GRANJA,10
VITACURA,10
TORTEL,10
NUNOA,8
MACUL,8
TIMAUKEL,8
SAN RAMON,8
SANTIAGO,8
LAS CONDES,8
INDEPENDENCIA,7
OLLAGUE,6
CONCHALI,5
SAN JOAQUIN,5
PEDRO AGUIRRE CERDA,5
SAN MIGUEL,5
LAGUNA BLANCA,2
CHILLAN VIEJO,2
PROVIDENCIA,1
LA REINA,1
PUQUELDON,1
LO PRADO,1
