comuna,count
O'HIGGINS,45
PAPUDO,42
SAN ESTEBAN,42
CERRILLOS,41
VINA DEL MAR,41
SAN PEDRO DE LA PAZ,41
CANELA,40
RENCA,39
PETORCA,37
SANTA MARIA,34
TOCOPILLA,32
CURACO DE VELEZ,32
EL QUISCO,32
HUALAIHUE,32
FUTALEUFU,29
LO BARNECHEA,29
LA FLORIDA,29
QUEILEN,26
OLIVAR,25
LO ESPEJO,21
RIO CLARO,21
HUECHURABA,19
CORRAL,18
CURARREHUE,16
PUNITAQUI,15
CERRO NAVIA,14
EL TABO,13
ESTACION CENTRAL,12
ANDACOLLO,10
QUINTA NORMAL,10
PENALOLEN,9
EL BOSQUE,9
TORTEL,8
LAS CONDES,8
RECOLETA,8
TIMAUKEL,7
SANTIAGO,7
VITACURA,6
MACUL,5
LA GRANJA,5
SAN RAMON,4
OLLAGUE,4
NUNOA,3
SAN JOAQUIN,3
INDEPENDENCIA,2
CONCHALI,2
LAGUNA BLANCA,2
PEDRO AGUIRRE CERDA,1
QUINCHAO,1
SAN MIGUEL,1
CHILLAN VIEJO,1
