comuna,geometry
GRANEROS,"POLYGON ((-70.6889491804134 -34.1378807887922, -70.7820471143165 -34.1131573494972, -70.7856181459928 -34.11019122781, -70.7971433136153 -34.0973931390265, -70.8043693808359 -34.0891680121344, -70.8265816493076 -34.0246137964119, -70.821956280066 -34.0187708608584, -70.8199601599783 -34.0163249336451, -70.8172440472638 -34.0136489664002, -70.8141147911319 -34.0108190361954, -70.794337782664 -33.9959394252873, -70.7859175589961 -33.9988824728039, -70.7544276116528 -34.0104569954307, -70.7513925694704 -34.011646089618, -70.7181655808573 -34.0253085500646, -70.6688473941406 -34.0496012885193, -70.6746677158226 -34.0951601395239, -70.6760348449607 -34.0996691010937, -70.6876501327979 -34.1351698545921, -70.6889491804134 -34.1378807887922))"
GUAITECAS,"POLYGON ((-73.4943849224464 -44.1827422025793, -73.4960780167016 -44.1827272183761, -73.5150327459515 -44.1821238333497, -73.8943935596151 -44.0897911943331, -73.9467467848083 -44.0712384391406, -74.1676910666263 -43.9418367062501, -74.1681140556722 -43.9415557475449, -74.1722049674989 -43.9367027493581, -74.1722099816357 -43.9363616945617, -74.1614572017028 -43.8537852437931, -74.1612981746185 -43.8532152189419, -74.1610521628786 -43.8528733032981, -74.1137910614385 -43.7970920979931, -74.1102338455097 -43.7944812033105, -74.1098188761769 -43.7942512519383, -74.0988392548285 -43.7904175797081, -74.0437475492772 -43.7740699920826, -74.0038087039258 -43.7679658716602, -73.4895545939438 -43.7085885996053, -73.4891246310434 -43.7085826596945, -73.4880885707182 -43.7087396423907, -73.4730163124819 -43.7163098974236, -73.4729292897049 -43.716364901675, -73.4724863292081 -43.7168698367633, -73.4512189952024 -43.9794552879466, -73.4432858459522 -44.1303891021041, -73.4436558314581 -44.1318651082396, -73.4493687440909 -44.1487646835818, -73.4506159422602 -44.1519086941295, -73.4510129991832 -44.1526316665604, -73.4513770058664 -44.1530256178712, -73.4899196276665 -44.1811963649035, -73.4916557946703 -44.1820852890676, -73.492942808201 -44.1824352576055, -73.4943849224464 -44.1827422025793))"
HIJUELAS,"POLYGON ((-71.0264078689511 -32.9890715175813, -71.041005394091 -32.9883792855119, -71.0457825318559 -32.9877281665173, -71.0751465634292 -32.9812777145752, -71.0915440571595 -32.9772374544071, -71.0964051803492 -32.9759914302344, -71.1008293126762 -32.9748263480244, -71.1028703638938 -32.9736273186829, -71.1391249493493 -32.9422807352513, -71.14227103967 -32.9388807385232, -71.1510161691698 -32.9292135503415, -71.1516769985591 -32.9261045226903, -71.1782539625937 -32.7900622761314, -71.177838949857 -32.7893782664101, -71.1626151143773 -32.7758665934107, -71.0671676987131 -32.736532110018, -71.0597823504448 -32.734385249191, -71.0583472690165 -32.7342382874163, -71.0541321365948 -32.734534351598, -71.0527111211811 -32.7349553499555, -71.0516681330897 -32.735454357742, -71.0206119851322 -32.7824378216369, -71.0167819672285 -32.7899388833131, -71.0033443718548 -32.825034036426, -71.0011528601147 -32.9428369906937, -71.0032711628962 -32.948250932193, -71.0146051389653 -32.9750556966964, -71.0264078689511 -32.9890715175813))"
HUALAIHUE,"POLYGON ((-72.1485369461912 -42.6808009205456, -72.1498828885206 -42.6806019855392, -72.2268383271519 -42.6630266351939, -72.244651802447 -42.6576063561249, -72.3078214521619 -42.6344733371089, -72.3981648141701 -42.5768203368534, -72.8756309675596 -41.9140662806313, -72.875779911258 -41.9129652287816, -72.6870154971536 -41.7123975792257, -72.6864544804711 -41.7124346172615, -72.6860314411156 -41.712524646401, -72.3891264161953 -41.7814187398025, -72.3874224188464 -41.7821147251232, -72.3083125398356 -41.815248884297, -72.3055894737993 -41.8167329614492, -72.299403335019 -41.8203199971308, -72.2980723237143 -41.8211070456234, -72.1863243616721 -41.8875224870821, -72.1840483318613 -41.8890594559032, -72.1829564204661 -41.8917194703154, -72.1631343291092 -41.9402632656119, -72.0281711090283 -42.4083830227403, -72.0278061408212 -42.4098960122422, -72.0129194587626 -42.4869463199051, -72.0124774438627 -42.4900522162932, -72.0129926310057 -42.4936191944479, -72.0133816668317 -42.4957321805838, -72.0254361091752 -42.5201456223252, -72.0971184575181 -42.6439335314984, -72.1231415695796 -42.6711986307633, -72.1239786134657 -42.6717996010112, -72.1366763429261 -42.6793102444559, -72.1370603861979 -42.6794942213877, -72.1446996768739 -42.680531046125, -72.1472027993105 -42.6807670358855, -72.1485369461912 -42.6808009205456))"
HUALANE,"POLYGON ((-71.6731164230421 -35.1010749879892, -71.6996883961187 -35.097961516076, -71.7011803768646 -35.0977575399373, -71.7023274576763 -35.0971755495738, -71.9243288012183 -34.9468632633392, -71.9387096773752 -34.9221251356768, -71.9421486923094 -34.914375136404, -71.9463604458966 -34.9028030988613, -71.9477101993283 -34.8897641561396, -71.9415874671474 -34.8671623236842, -71.9405703310431 -34.8636973878047, -71.9399382643649 -34.8615663966589, -71.9390670923414 -34.8593804237413, -71.9373590644128 -34.8581944484205, -71.8720256232967 -34.8177356716297, -71.7989072514747 -34.8275098722026, -71.5344105373823 -34.8695172695539, -71.5327284889074 -34.870021262213, -71.5314794916626 -34.8708442620015, -71.5267713627426 -34.8755123599765, -71.454961874326 -34.9622302556089, -71.4542399855511 -34.9642912581365, -71.4544600123603 -34.9676362861806, -71.4558051478337 -34.9703072327838, -71.4662078341951 -34.9835879829386, -71.4693469888866 -34.9857579498155, -71.6244622970329 -35.0882328893038, -71.6256493977237 -35.0888918849437, -71.6714423534655 -35.1008130065452, -71.6731164230421 -35.1010749879892))"
HUALQUI,"POLYGON ((-72.855938632407 -37.2010161905434, -72.8592397452873 -37.2001472427616, -72.9396006471611 -37.1633799547828, -72.9484676798938 -37.1552298793215, -72.9552597441365 -37.1469827927062, -72.9754797343579 -37.1208466065402, -72.9788025882798 -37.1137386138285, -72.9829004952993 -37.1044556274077, -73.0192498311228 -36.9605819595857, -72.9954658014003 -36.9200006778278, -72.943318083434 -36.8940578027299, -72.9286834183659 -36.8895340760195, -72.9266103977385 -36.8898861062534, -72.8419419643745 -36.9140914613487, -72.7378913921046 -36.9585040709087, -72.726140778775 -37.0240688678633, -72.7253768936696 -37.0289388626426, -72.7252281008635 -37.0339358251617, -72.7261641873802 -37.0388377676225, -72.7265832474098 -37.0403577583158, -72.7645504120212 -37.1379063447217, -72.7655175922113 -37.1402713129394, -72.7659286394368 -37.1408102940681, -72.8226793173659 -37.1980538898307, -72.8295696317301 -37.1994567371607, -72.8394219902502 -37.2007766023419, -72.855938632407 -37.2010161905434))"
HUARA,"POLYGON ((-69.8147547961314 -20.1016106921487, -70.0933632019226 -20.0834076438009, -70.1351423841959 -20.0599229531677, -70.2412229732902 -19.6047705530004, -70.286586362659 -19.3085148603616, -70.2866443010454 -19.3079038284524, -70.2871250510466 -19.2817484700576, -70.2878905386769 -19.2282056421138, -70.287637472546 -19.2276526184702, -70.1001858795977 -19.1191648525251, -69.9494519772008 -19.050222294717, -69.9473138441114 -19.0495992585347, -69.8837734717521 -19.0340546297626, -69.6513482896466 -19.0216086685595, -69.6441840266844 -19.0212707479963, -69.4370698577497 -19.0235217459807, -69.4230503650837 -19.0241879017334, -69.4178732297625 -19.0261030068308, -69.4132030091215 -19.0279250917139, -69.4069118976152 -19.0314722052851, -69.0775499378189 -19.2737169842284, -69.0226386189655 -19.3306323867233, -68.9077064124831 -19.6000144860299, -68.9297387697154 -19.7455594048418, -69.0108724923604 -19.9168131426446, -69.0823494985881 -19.9608940152948, -69.1551624130102 -19.9877707095015, -69.8147547961314 -20.1016106921487))"
HUASCO,"POLYGON ((-71.1388026359311 -28.6168266131302, -71.286380570671 -28.5980553996179, -71.2889676168247 -28.5976814258656, -71.2906066428645 -28.5965523579102, -71.2916416253437 -28.595157384155, -71.3029707735237 -28.5775021018638, -71.3109367860842 -28.5639310053799, -71.1478494700047 -27.9804409036764, -71.1441261150971 -27.9678468993577, -71.1426170356717 -27.9627499206638, -71.1422489759466 -27.9625459431177, -70.7702115313921 -28.0609395609273, -70.7759856692549 -28.3405566441994, -71.1334223487336 -28.6141566540639, -71.1353744585808 -28.6152276434233, -71.1364505683688 -28.6157616392872, -71.1388026359311 -28.6168266131302))"
HUECHURABA,"POLYGON ((-70.6108841040584 -33.4061126396453, -70.6900642112711 -33.368873388668, -70.6927530968949 -33.3592443632022, -70.6936359625796 -33.3553513868509, -70.6878105864006 -33.3451874537081, -70.6787409041579 -33.3298316026222, -70.6696474877826 -33.3281937987778, -70.6628532233953 -33.328284858583, -70.5940409296001 -33.3367409839388, -70.5925708811985 -33.3382980269261, -70.5904788667152 -33.3405690127916, -70.5818837521511 -33.3508982034285, -70.6028125449102 -33.3925237326495, -70.6108841040584 -33.4061126396453))"
ILLAPEL,"POLYGON ((-71.1646837931437 -31.9005661347437, -71.1657929262978 -31.9004481092631, -71.1726870825942 -31.8984050012302, -71.1754951815213 -31.8971229598823, -71.2703548826635 -31.8158254808399, -71.2726418534539 -31.8135633801205, -71.3232366593304 -31.763434586842, -71.3258007182216 -31.7599825406342, -71.3968949706699 -31.6545114920587, -71.3963589766706 -31.6052484721199, -71.2896611038333 -31.4657131515091, -71.2876720303787 -31.4637971092212, -71.1285404776381 -31.3357404907736, -71.1221822582483 -31.3325666262192, -71.1193721363871 -31.3318637034385, -71.1162149809422 -31.331259691599, -70.5909187743284 -31.2785227611103, -70.5823964274167 -31.2789738906771, -70.5816193940598 -31.2790698693784, -70.5591797751839 -31.289541212633, -70.5441586562892 -31.3045995390126, -70.5269462457329 -31.3642158062721, -70.5326992526229 -31.4070487509778, -70.5586031263844 -31.5461004799512, -70.5589762108236 -31.5474934667437, -70.5616834947895 -31.5569023584286, -70.5617185445439 -31.556970399846, -70.6544571345727 -31.6151520395792, -70.6566021946489 -31.6164869770369, -71.0884605995092 -31.879722302216, -71.1646837931437 -31.9005661347437))"
INDEPENDENCIA,"POLYGON ((-70.652589286854 -33.4345848913347, -70.6538513514684 -33.4343098882253, -70.655486389495 -33.4339477991071, -70.6559174007952 -33.4338518602638, -70.659354528998 -33.4330297164229, -70.6595785023731 -33.432975772996, -70.6598005319688 -33.4329207612743, -70.6601925260545 -33.4328217253989, -70.664324663783 -33.4315846808395, -70.6650356825476 -33.4313467104005, -70.6704658699119 -33.4294416123907, -70.6708678292066 -33.4292915514873, -70.6713139389883 -33.4290995789981, -70.671585929887 -33.4289585677399, -70.671816841557 -33.428824600166, -70.672051842852 -33.4286785800694, -70.6721359064254 -33.4286145930353, -70.6723448264588 -33.4284435855605, -70.6781439202807 -33.4226454401496, -70.6785729352336 -33.4222045169517, -70.6787549465739 -33.4219724436498, -70.6790539374936 -33.4215094644436, -70.6792530069714 -33.4211294480674, -70.6793500329449 -33.4209074563077, -70.6794230097824 -33.4207214924253, -70.6795479507266 -33.4202845039006, -70.6795889571407 -33.4201074554353, -70.682752803424 -33.4056924870425, -70.6730282789603 -33.4023785848161, -70.6687161970787 -33.4017736328919, -70.6685041389647 -33.4017497118111, -70.6675921476067 -33.4016536589695, -70.6674480772972 -33.4016486560137, -70.6671090889377 -33.4016606891296, -70.666192036882 -33.4017217139493, -70.6661270721687 -33.4017267285971, -70.6624228967754 -33.4020307411866, -70.6590728056436 -33.4023217847714, -70.6538028057226 -33.409114910551, -70.6509039513129 -33.4203909410724, -70.6524813183063 -33.4344438552998, -70.652485356547 -33.4344639040891, -70.6524922827265 -33.4344829277917, -70.6525182556268 -33.434514877838, -70.652589286854 -33.4345848913347))"
IQUIQUE,"POLYGON ((-70.0032240742573 -21.4386492292588, -70.0061481313595 -21.4384361761578, -70.057864900284 -21.4308575753383, -70.0645370163968 -21.4216534065003, -70.0721700605713 -21.4081320931715, -70.0871342826782 -21.3785776171578, -70.0964581813203 -21.3496471418953, -70.1785271740283 -21.0237552104206, -70.2107377318261 -20.8109601143973, -70.2107356793672 -20.8106791576058, -70.2000761089143 -20.5363266484566, -70.1836755933867 -20.3619255528548, -70.1629850716309 -20.2072677046944, -70.1358094163594 -20.0604908747818, -70.1353294665947 -20.0600079380588, -70.1351423841959 -20.0599229531677, -69.8925088963622 -20.0480672040837, -69.8204967378512 -21.1162631490708, -69.8826972220675 -21.3033848521129, -69.931025412283 -21.4250928773992, -69.9826523082263 -21.4355094718283, -69.9959727447301 -21.4377793249007, -70.0032240742573 -21.4386492292588))"
ISLA DE MAIPO,"POLYGON ((-70.8957709802431 -33.8040401585819, -70.9803768922494 -33.7981877825807, -71.114938533177 -33.7405837275458, -71.1171555303178 -33.7383386397839, -71.1181715477498 -33.7367706564674, -71.1186496135707 -33.7346926254755, -71.1185064502515 -33.7289006299577, -71.1179222972443 -33.7266336967499, -71.1160391949893 -33.7252176857467, -71.0934530413066 -33.7108001658522, -70.8989015459352 -33.6952953566497, -70.845707792128 -33.7067641710166, -70.842150749413 -33.7083222133459, -70.8384316370505 -33.7101453502994, -70.8366176413492 -33.7112193658347, -70.8247952779503 -33.7193245634432, -70.8213823748119 -33.7257005953247, -70.8207113950867 -33.7286815828772, -70.8199384447797 -33.7326225672811, -70.8213439513964 -33.7528244560692, -70.8215070743635 -33.7547385374587, -70.8267274463506 -33.7638144287551, -70.8481776949116 -33.784976994578, -70.8613044712978 -33.7963437360292, -70.8643586015049 -33.7981127059233, -70.8692028335984 -33.7995046313929, -70.8809263748027 -33.8017134678902, -70.8957709802431 -33.8040401585819))"
ISLA DE PASCUA,"POLYGON ((-73.9048398940361 -33.2241104566634, -73.9076448532387 -33.2237198328873, -73.9233083313245 -33.2180344459005, -73.9242436157448 -33.2174457834321, -73.925414044041 -33.2152858289993, -73.9286949882814 -33.2040914876964, -73.9177387747876 -33.1773702931699, -73.8939669168482 -33.1331558967183, -73.8725373530867 -33.098957504559, -73.8699747999965 -33.0958120219252, -73.8639162768121 -33.0899128741954, -73.8580897242608 -33.0853886260518, -73.8566913385837 -33.0844048884723, -73.8548256359121 -33.0838134511911, -73.8436264463333 -33.083407309593, -73.8174840246392 -33.0880863711342, -73.8146827972279 -33.0886714910485, -73.7004663010855 -33.1226275977919, -73.6927360431066 -33.1304653487691, -73.6906240429823 -33.1336028066953, -73.6906109806464 -33.137334663366, -73.6954775948223 -33.1477566879086, -73.6971038848955 -33.1501176577433, -73.6994314687614 -33.1522838021032, -73.8975966812403 -33.2227295690286, -73.9006338656753 -33.223517853902, -73.9048398940361 -33.2241104566634))"
JUAN FERNANDEZ,"POLYGON ((-73.7981089362737 -33.3958910309322, -73.9373438032842 -33.3889219562451, -73.9415588264417 -33.3880381425695, -73.9453280162243 -33.3868143474086, -73.9492386060766 -33.380575655717, -73.9497856162928 -33.3751869190065, -73.9475569204914 -33.3659733514882, -73.9416795475442 -33.3538676116712, -73.9363160698124 -33.3481745089204, -73.9324071800057 -33.3468989609701, -73.9298550171734 -33.3470005419581, -73.7684102421958 -33.3563841840714, -73.7602202509591 -33.3576231171374, -73.7500333228918 -33.3626338758638, -73.7178911656118 -33.3791078272906, -73.7150860771394 -33.3834144764844, -73.7128195157357 -33.3871548128897, -73.712469365581 -33.3908640983967, -73.7132184811885 -33.3945315495073, -73.7981089362737 -33.3958910309322))"
LA CISTERNA,"POLYGON ((-70.6543141147461 -33.5514756016741, -70.6560291494716 -33.5511945683827, -70.6576551554045 -33.5509175931889, -70.6675124904317 -33.5490884646145, -70.6862070494309 -33.5418221753597, -70.6718688408526 -33.5134673979702, -70.645456055647 -33.5200868274201, -70.6457139978671 -33.521074851684, -70.6459790353716 -33.5220617951701, -70.652467880376 -33.5459507050972, -70.6529219178272 -33.5476017221274, -70.6543141147461 -33.5514756016741))"
LA CRUZ,"POLYGON ((-71.1831398842603 -32.8680661365544, -71.1845919850751 -32.8680411365705, -71.2292573804821 -32.8570114244371, -71.3239862050426 -32.8308169513256, -71.3282422973383 -32.8277638354119, -71.3289402451074 -32.8256117894148, -71.3257989105336 -32.8160189156334, -71.303418435597 -32.7864182949822, -71.3020843764464 -32.785845317187, -71.2843185872453 -32.7788935913196, -71.2810794456869 -32.7782156130702, -71.2771342334054 -32.7778907331786, -71.229164746342 -32.7873854627433, -71.20004004759 -32.8043439405485, -71.1665115774246 -32.8353524311976, -71.1654395408439 -32.8365614646431, -71.1600715979068 -32.8497035745868, -71.159315585016 -32.8516204921814, -71.1590426275963 -32.85273658033, -71.158074730106 -32.8572745110705, -71.1573607805124 -32.8608965324983, -71.170669416838 -32.8653483503454, -71.1831398842603 -32.8680661365544))"
LA ESTRELLA,"POLYGON ((-71.6875834798959 -34.3179445553635, -71.6904675840858 -34.3178805692574, -71.6960927813292 -34.3171714680229, -71.7308708337863 -34.3098569134588, -71.7388510397168 -34.3063587979545, -71.7479802948137 -34.3015635960348, -71.7565914236722 -34.2962925286283, -71.7719607018114 -34.2837332843669, -71.7914224321155 -34.2435251066742, -71.7922453628925 -34.2389760824057, -71.6666312973119 -34.1345305195428, -71.5505349179986 -34.0897285523043, -71.5427755958607 -34.090794717479, -71.539081553057 -34.0921547729293, -71.5362155008146 -34.0936458433396, -71.4844416754061 -34.138013542938, -71.4835027259563 -34.1405505994649, -71.4506977267806 -34.2346927980703, -71.446699945254 -34.2476148327664, -71.4579512019207 -34.2849935653205, -71.4632608769536 -34.3024954296605, -71.4669819991975 -34.3028863472293, -71.6875834798959 -34.3179445553635))"
LA FLORIDA,"POLYGON ((-70.612280035608 -33.5731622600904, -70.6123279784678 -33.5729132702223, -70.6156256033976 -33.5492622865911, -70.6156456007988 -33.5491042914144, -70.6146596626263 -33.5108563734043, -70.4660997554529 -33.4921037986636, -70.465105714763 -33.4920448634153, -70.4367745959049 -33.4907662649764, -70.4364246362217 -33.4920222784178, -70.4368656628467 -33.4950872489621, -70.4376218244176 -33.4982713134442, -70.4383548590914 -33.5001052839275, -70.4409541231477 -33.5060311865159, -70.486277626114 -33.5420974115774, -70.5104507144324 -33.5503559931648, -70.5846959522674 -33.5715567313841, -70.5852540039666 -33.5716457203265, -70.5932182878111 -33.5728695762143, -70.612280035608 -33.5731622600904))"
LA GRANJA,"POLYGON ((-70.6314805036559 -33.5624880359108, -70.6329783392471 -33.5558320280422, -70.63315436658 -33.5549859661194, -70.6333984030018 -33.5537650252253, -70.6340902475354 -33.5502950036349, -70.6345512279752 -33.54780694089, -70.6347122985439 -33.5469130142817, -70.6349321932724 -33.5453959656414, -70.6349762769486 -33.5450769572147, -70.6374108027484 -33.5214100151868, -70.6198919623029 -33.5167942773749, -70.6192749651393 -33.516639302436, -70.6158987992015 -33.515807369827, -70.6158168416393 -33.5157943626242, -70.615775835864 -33.5157893018185, -70.6120686433079 -33.5157403957496, -70.6109298033925 -33.5241383698564, -70.6104599348277 -33.528907450837, -70.6105139190337 -33.5305244304668, -70.6108951318574 -33.538379373521, -70.6114664543887 -33.5493573467881, -70.6130786946378 -33.5583402662673, -70.6204749946269 -33.5600212328052, -70.6282583282337 -33.5617730358342, -70.6313604914884 -33.562470035064, -70.6314805036559 -33.5624880359108))"
LA HIGUERA,"POLYGON ((-70.5947827071701 -29.7179979339494, -71.2856060922198 -29.6927877139892, -71.5554067582449 -29.5899895488916, -71.5571457248441 -29.5868395311949, -71.5588400659006 -29.5466813911571, -71.5513486570608 -29.2797557943748, -71.547450018463 -29.2557837675621, -71.5353260518895 -29.2272408712553, -71.5089073178844 -29.1834661280881, -71.5084412988491 -29.1829071626492, -71.3726358120881 -29.1451950056231, -71.3714876766247 -29.1449260264857, -71.354637054072 -29.1416072610725, -71.3533150112788 -29.1414142464766, -70.6420575942168 -29.0400542511208, -70.6126454970498 -29.0368086293935, -70.6107324688795 -29.0367417044489, -70.5545225445677 -29.044022505725, -70.5469733056456 -29.046987590447, -70.5445702957624 -29.0485296991968, -70.5422521970728 -29.0508576933154, -70.5402272103258 -29.0531217426462, -70.5380191984802 -29.0565397909608, -70.5357101410941 -29.0607398346765, -70.4968196092825 -29.1614277164889, -70.467424073664 -29.2401214503231, -70.4537392992222 -29.3313209046362, -70.4535273566065 -29.3389218933041, -70.4540414140217 -29.3404918808352, -70.5730364709345 -29.6955162323051, -70.5947827071701 -29.7179979339494))"
LA LIGUA,"POLYGON ((-71.0918719580744 -32.6206998318319, -71.1002052712892 -32.6206167110686, -71.1994045515128 -32.6034181378679, -71.2003715346761 -32.6030271254708, -71.4696286092041 -32.345692100014, -71.4700546205363 -32.3451340245827, -71.5255892785743 -32.2356352446516, -71.5261392789641 -32.234301255969, -71.5400218528808 -32.1955141064069, -71.5407784976612 -32.1770080200311, -71.5406715113787 -32.176695093723, -71.4907912699393 -32.1586218366453, -71.4774097495757 -32.1543721052699, -71.2172396331376 -32.1274482546473, -71.2114915253336 -32.1293312825012, -71.2066484012762 -32.1311423611018, -71.2016003511923 -32.1360214820568, -71.1952332412637 -32.1456015778902, -71.1849714252804 -32.167615740779, -71.1037304599314 -32.3517418480541, -71.0470168208923 -32.5536076802948, -71.0464798839422 -32.5555996010132, -71.0473042263861 -32.56807960723, -71.0475092603675 -32.5697956590746, -71.0635754028137 -32.5962513422791, -71.082999578917 -32.6170829773205, -71.0868988224919 -32.6197869747608, -71.0894289407631 -32.6206298685301, -71.0918719580744 -32.6206998318319))"
LA PINTANA,"POLYGON ((-70.6294309568981 -33.6299689144526, -70.6454165888171 -33.6298596747789, -70.671471053904 -33.6102192438095, -70.6557273277676 -33.5576796510417, -70.6130786946378 -33.5583402662673, -70.6130047276979 -33.5584112923932, -70.6128277432703 -33.5590312656136, -70.6116368015507 -33.563210273767, -70.6113177975692 -33.5643673075087, -70.6112537497779 -33.5646082932108, -70.6090634047844 -33.5943463209704, -70.6088545992983 -33.6050532672992, -70.6294309568981 -33.6299689144526))"
LA REINA,"POLYGON ((-70.5318706158236 -33.4682678130809, -70.5630717311586 -33.465183311327, -70.5632027259828 -33.4651563202748, -70.5633967220996 -33.4651012934835, -70.563798718591 -33.4649692396369, -70.5658748165576 -33.4642722488299, -70.5681468956442 -33.4634841748298, -70.5731580352638 -33.4616901530578, -70.585339828899 -33.4344329857798, -70.5852387891507 -33.4344129905978, -70.5849818294948 -33.4343719988379, -70.5398230786949 -33.4315277392542, -70.5238085134811 -33.4343029542642, -70.5020338614078 -33.4404243145874, -70.497527774777 -33.442519345778, -70.4952516371874 -33.4444834574284, -70.4941966774016 -33.4458284692997, -70.4856255977133 -33.457916535472, -70.4822096472062 -33.4635826412351, -70.5318706158236 -33.4682678130809))"
LA SERENA,"POLYGON ((-71.080143453898 -30.1371888141324, -71.0821824978922 -30.1366617405415, -71.1028120503183 -30.1302673914512, -71.1053701750321 -30.1291743901392, -71.1077632028119 -30.1274653142888, -71.1189244215133 -30.1186832015689, -71.1213124875356 -30.116726144051, -71.1251825661486 -30.1131350327198, -71.1277106136694 -30.1106809719197, -71.2779378047266 -29.9506334709442, -71.2857758855241 -29.9381803056973, -71.3429384141312 -29.756056085109, -71.3405800989477 -29.7449820847335, -71.3210449824361 -29.6701521328127, -71.3151414798919 -29.655018237722, -71.3117942172932 -29.648901299011, -71.0305604425765 -29.5624491493802, -71.0289483699889 -29.5621152427326, -70.8873297418068 -29.5337481679142, -70.8841205879287 -29.5337942470553, -70.8525528273018 -29.5509907796072, -70.7135263290781 -29.627997986954, -70.7106812341612 -29.6303680736318, -70.7088871827484 -29.6322460769505, -70.6959451170107 -29.6509622703054, -70.685680445838 -29.6886955689814, -71.0544113510111 -30.1283110966449, -71.0561184053717 -30.1300791225637, -71.0586525027663 -30.13146310025, -71.064504786667 -30.1335989693958, -71.0705480516611 -30.1357928901397, -71.0783173066165 -30.1369698253277, -71.080143453898 -30.1371888141324))"
LA UNION,"POLYGON ((-73.1526263314979 -40.3587951754938, -73.1578765310379 -40.3585440089746, -73.2665944006584 -40.3516630013066, -73.3649697517562 -40.3412271695876, -73.4053409885167 -40.3358564677408, -73.5989580629707 -40.3003299791509, -73.6511234672324 -40.2851511233121, -73.6596886808336 -40.2816560521893, -73.6669638242081 -40.2786478491876, -73.6707308941971 -40.2764338110659, -73.7181475733286 -40.242368292128, -73.7231004353501 -40.2337273009709, -73.7247813523488 -40.1999686230512, -73.724719328479 -40.1979595979985, -73.7083382805659 -40.0055590295445, -73.6458772750194 -39.9832805551381, -73.64457113932 -39.9828555963399, -73.6233942637305 -39.9792479687051, -73.1022416548735 -40.0658682832195, -72.5413878269408 -40.1663801755473, -72.5284264815601 -40.1707393396592, -72.4983048090003 -40.1834438216855, -72.4929972465513 -40.2024327405051, -72.492092662566 -40.2179425676768, -72.4921530123086 -40.2282824575613, -72.4934062813689 -40.2356783386256, -72.4972537553622 -40.2437572524507, -72.5077435171008 -40.2551138607288, -72.5330479022143 -40.2672582990589, -72.5495256627901 -40.2732528405216, -72.5615922784781 -40.2760555712081, -72.9090693793598 -40.3350282279313, -73.1490162172432 -40.358737199714, -73.1526263314979 -40.3587951754938))"
LAGO RANCO,"POLYGON ((-72.113916382475 -40.5824210728993, -72.1162014559622 -40.582330025042, -72.1184184812794 -40.5814209867303, -72.5366218626795 -40.3825230000869, -72.5498301619636 -40.3761867823189, -72.5525001624338 -40.3741257366147, -72.6812033818976 -40.2622674632664, -72.6823833533121 -40.2596864147117, -72.6825742421814 -40.2588674352409, -72.6815260711216 -40.2552405242239, -72.6798670132779 -40.2526985707807, -72.6766187965895 -40.2503996030964, -72.6694183745836 -40.2472368485008, -72.4983048090003 -40.1834438216855, -72.1854856299051 -40.2075166432732, -71.657873277979 -40.3543653318974, -71.656595337284 -40.3577322991037, -71.6574574308429 -40.3611602248348, -71.6939223515384 -40.404646093849, -71.6956493719196 -40.4067010421503, -71.6987766992802 -40.4103348857117, -71.7096654321581 -40.4217065951883, -71.8586256103639 -40.5531433326677, -71.8693520686768 -40.5553801217145, -71.8705211554454 -40.5555930838363, -72.113916382475 -40.5824210728993))"
LAGO VERDE,"POLYGON ((-72.2416013445432 -44.87874767749, -72.2420233118427 -44.8785826592504, -72.2854373603153 -44.8615059837827, -72.2865143995151 -44.8609420557061, -72.3902575411197 -44.7656323141349, -72.3906864954004 -44.76520438267, -72.3909175688544 -44.7646253459858, -72.391175443419 -44.7634623693665, -72.3897144577371 -44.4017351083972, -72.3890672783403 -44.396555185162, -72.3881151609696 -44.3932862239671, -72.0615390155632 -43.9409879637301, -72.0598348545082 -43.939300039739, -72.0578706479311 -43.937692059902, -72.0563875316057 -43.936703085915, -72.0536113778663 -43.9360251671937, -72.051329390569 -43.9357072395715, -71.9722117733597 -43.924702065648, -71.9675126146887 -43.9242311686402, -71.9613932691198 -43.924068286361, -71.8624384523405 -43.9268433256134, -71.8598654193309 -43.9272053369185, -71.8572523418077 -43.9283443673989, -71.803570129345 -43.952122100179, -71.1302186988213 -44.4680813398519, -71.0913175239183 -44.5292152648589, -71.0901147074346 -44.5329031781238, -71.0947229056989 -44.5837732933799, -71.0953310062573 -44.5847213293599, -71.2084673767833 -44.7516503870887, -71.2457377508791 -44.7965899046774, -71.2462638569449 -44.7972128552021, -71.2669090040272 -44.8043963616431, -71.2917042624117 -44.8123326794769, -72.2323609603171 -44.8781929309026, -72.2333799539354 -44.8782548821487, -72.2416013445432 -44.87874767749))"
